Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
ANDREW B. ULMER,HENRY EMRON J. - ,KALEIDOSCOPE INC. - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
ARNOLD & PORTER LLP,BASRA AMARJIT - BAUER CHRISTOPHER - CHARI RAGHUNATHA - CHOMET PAUL - IANDOLINO ALBERTO - JIA HONGWU - KURIAKOSE SARITHA - PENG MINGSHENG - PENG YING - RAJANI SOMAIAH - ,MONSANTO TECHNOLOGY LLC - ,Transgenic Plants with Enhanced Agronomic Traits,06-11-2012,06-06-2013,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,REITTER ALEC - CHANG BARBARA - SUN KEN - GUPTA RAGHAV - BOLIVAR ALVARO - LEWIS ALAN - ,EBAY INC. - ,SYSTEM AND METHOD FOR APPLICATION PROGRAMMING INTERFACES FOR KEYWORD EXTRACTION AND CONTEXTUAL ADVERTISEMENT GENERATION,05-11-2010,03-03-2011,12-06-2012,
ANDREW B. ULMER,KALEIDOSCOPE INC. - ,ETHICON ENDO-SURGERY INC. - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
AMERICAN AIR LIQUIDE INC.,ABE ISAO - TOMITA SHINJI - ,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE - ,PROCESS FOR SEPARATING MONOSILANE FROM CHLOROSILANES-RICH MIXTURE,01-03-2013,20-06-2013,
WELLS FARGO BANK N. A.,WELLS FARGO BANK NATIONAL ASSOCIATION - ,SOLID STATE EQUIPMENT HOLDINGS LLC - ,WAFER SCRUBBING DEVICE,14-06-1996,14-10-1997,
WELLS FARGO BANK N. A.,WELLS FARGO BANK NATIONAL ASSOCIATION - ,SOLID STATE EQUIPMENT HOLDINGS LLC - ,Wet etching of the edge and bevel of a silicon wafer,18-06-2008,27-11-2008,
BIRCH STEWART KOLASCH & BIRCH LLP,ASAN LABORATORIES COMPANY (CAYMAN) LIMITED - ,SUNNY PHARMTECH INC - ,METHOD FOR TREATING OR AMELIORATING MUCOCUTANEOUS OR OCULAR TOXICITIES,29-11-2011,10-05-2012,
ANDREW B. ULMER,NEWELL MATTHEW B. - CLAUSON LUKE W. - ,INNOVATIVE DRIVE CORPORATION - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
HERBERT R. SCHULZE,ARGON TECHNOLOGIES INC. - ,NUDOWN INC. - ,SYSTEMS AND METHODS FOR INFLATING AN ARTICLE OF OUTDOOR GEAR OR APPAREL USING A DRY GAS,06-09-2011,16-02-2012,
MICHAEL LEINAUER ICE MILLER LLP,MILLER GARY E. - ,MILLER GARY E. - MILLER BARBARA J. - ,VARIOUSLY CONFIGURABLE ROTATING BIOLOGICAL CONTACTOR AND PREFABRICATED COMPONENTS THEREFOR,19-05-2004,24-11-2005,01-08-2006,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SUNDARESAN NEELAKANTAN - ,EBAY INC. - ,CONFIGURABLE INTERFACES,02-09-2010,08-03-2012,
LUCAS & MERCANTI LLP/ YUN H. CHOE,UBMATERIALS INC. - ,INDUSTRIAL BANK OF KOREA - ,CMP SLURRY COMPOSITION FOR TUNGSTEN,25-10-2012,22-08-2013,
WOLF GREENFIELD & SACKS P.C.,RADZIUNAS JEFFREY P. - DICESARE PAUL C - ,START LLC - ,ENDOSCOPIC SUTURING DEVICE,18-10-2011,02-02-2012,11-11-2014,
ECKERT SEAMANS CHERIN & MELLOTT LLC,HUI YI MING - WANG ZHI - ,DONGGUAN YIXIN MAGNETIC DISK CO. LTD. - ,PORTABLE CHARGEABLE SPRAY BOTTLE,24-06-2011,22-12-2011,
LEXYOUME IP MEISTER PLLC,SEJIN INNOTECH CO. LTD - ,SJ MATERIALS CO. LTD - ,CATHODE ACTIVE MATERIAL FOR LITHIUM SECONDARY BATTERY METHOD OF MANUFACTURING THE SAME AND LITHIUM SECONDARY BATTERY INCLUDING THE SAME,26-09-2013,30-01-2014,
TEXAS INSTRUMENTS INCORPORATED,GURUMURTHY GIRISHANKAR - VASISHTA MAHESH RAMDAS - ,TEXAS INSTRUMENTS INCORPORATED - ,LOW CLOCK-POWER INTEGRATED CLOCK GATING CELL,25-11-2013,03-07-2014,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,LEE JANET - MELNICK ANDREW - YANG ZHENYIN - PETKOV GEORGE B. - TREGAN LOIC - CEMBALLI GUNSHEKAR - JAIN BHUPENDRA - AHMED GHUFRAN - IANNONE JAMIE - RANNALA ERIK - SIDANA ANNUPREET - SUBRAMANIAM VIKRAM - ,EBAY INC. - ,POINT-OF-SALE PROMOTIONS,28-06-2011,20-10-2011,11-06-2013,
R. JOSEPH TROJAN,KINMON KYLE - ,AFCN LLC - ,INTRAMEDULLARY NAIL SYSTEM AND METHOD WITH DYNAMIC COMPRESSION,24-11-2011,24-05-2012,04-11-2014,
HUNTON & WILLIAMS LLP,CHASSET SOPHIE - CHEVREUIL FRANCIS - LEDOUSSAL BENOIT - LE STRAT FRÉDÉRIC - BENAROUS RICHARD - ,LABORATOIRE BIODIM - ,INHIBITORS OF VIRAL REPLICATION THEIR PROCESS OF PREPARATION AND THEIR THERAPEUTICAL USES,07-10-2013,08-05-2014,
WHITHAM CURTIS CHRISTOFFERSON & COOK,INSERM (INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE) - ,INSERM (INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE) - UNIVERSITE PIERRE ET MARIE CURIE (PARIS 6) - CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) - ,METHODS AND COMPOSITIONS FOR TREATMENT OF RETINAL DEGENERATIVE DISEASES,22-08-2014,05-02-2015,
B. J. SADOFF,HAHN BEATRICE H. - ,THE UNIVERSITY OF ALABAMA AT BIRMINGHAM RESEARCH FOUNDATION - ,HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CLADE M MOSAIC GAG POLYPEPTIDES.,17-02-2012,13-09-2012,
LEXYOUME IP MEISTER PLLC,SEJIN INNOTECH CO. LTD - ,SJ MATERIALS CO. LTD - ,POROUS SILICON BASED NEGATIVE ELECTRODE ACTIVE MATERIAL METHOD FOR MANUFACTURING THE SAME AND RECHARGEABLE LITHIUM BATTERY INCLUDING THE SAME,20-06-2014,25-12-2014,
ANDREW B. ULMER,INNOVATIVE DRIVE CORPORATION - ,ACCLARENT INC. - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
LEE HONG DEGERMAN KANG & WAIMEY,CHIE SUNG KYU - ,LG ELECTRONICS INC. - ,METHOD OF PROCESSING RADIO FREQUENCY SIGNAL IN MOBILE TERMINAL AND MOBILE COMMUNICATION SYSTEM AND MOBILE TERMINAL USING THE SAME,19-01-2007,26-07-2007,
CONLEY ROSE P.C./MATTHEW R. MOSCICKI,MADHAVAN RAGHU - BOYLE BRUCE W. - CLARK BRIAN - ,SCHLUMBERGER TECHNOLOGY CORPORATION - ,METHOD AND CONDUIT FOR TRANSMITTING SIGNALS,31-12-2012,23-05-2013,
SCOTT BARDELL,MEDTRONIC CORVENTIS INC. - ,MEDTRONIC MONITORING INC. - ,Chiropractic Care Management Systems and Methods,19-05-2009,26-11-2009,
SCOTT BARDELL,MEDTRONIC CORVENTIS INC. - ,MEDTRONIC MONITORING INC. - ,Tracking and Security for Adherent Patient Monitor,12-09-2008,19-03-2009,
SCOTT BARDELL,MEDTRONIC CORVENTIS INC. - ,MEDTRONIC MONITORING INC. - ,Communication-Anchor Loop For Injectable Device,27-07-2009,29-07-2010,
SCOTT BARDELL,MEDTRONIC CORVENTIS INC. - ,MEDTRONIC MONITORING INC. - ,Method and Apparatus For Acute Cardiac Monitoring,25-08-2009,04-03-2010,
SCOTT BARDELL,MEDTRONIC CORVENTIS INC. - ,MEDTRONIC MONITORING INC. - ,Method and Apparatus for Monitoring Fluid Content within Body Tissues,12-03-2010,16-09-2010,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SUNDARESAN NEELAKANTAN - REITTER ALEC - ,EBAY INC. - ,SHOPPING CONTEXT ENGINE,09-05-2012,30-08-2012,20-08-2013,
ERIN O'BRIEN,VENCORE SOLUTIONS LLC - ,MAGNIFY NETWORKS INC. - ,Method of and a system for logging on a project which contains a footage,25-11-2005,09-08-2007,
ERIN O'BRIEN,VENCORE SOLUTIONS LLC - ,MAGNIFY NETWORKS INC. - ,Method of and a system for accepting user-created content on a computer network site,03-10-2005,12-07-2007,
ERIN O'BRIEN,VENCORE SOLUTIONS LLC - ,MAGNIFY NETWORKS INC. - ,HOSTED VIDEO DISCOVERY AND PUBLISHING PLATFORM,05-07-2007,28-02-2008,14-02-2012,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,System for creating customized web content based on user behavioral portraits,31-01-2008,21-08-2008,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,Use of behavioral portraits in web site analysis,31-01-2008,18-09-2008,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,Use of behavioral portraits in the conduct of E-commerce,31-01-2008,21-08-2008,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,Dynamic Reconfiguration of Web Pages Based on User Behavioral Portrait,17-01-2014,17-07-2014,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,Use of Behavioral Portraits in Web Site Analysis,17-01-2014,31-07-2014,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,DYNAMIC RECONFIGURATION OF WEB PAGES BASED ON USER BEHAVIORAL PORTRAIT,31-01-2008,21-08-2008,06-05-2014,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,System for Creating Customized Web Content Based on User Behavioral Portraits,19-10-2011,09-02-2012,04-03-2014,
JOHN A. FORTKORT,7 BILLION PEOPLE INC. - ,HERITAGE OPPORTUNITY FUND LLC - ,USE OF BEHAVIORAL PORTRAITS IN WEB SITE ANALYSIS,19-10-2011,09-02-2012,25-03-2014,
B. J. SADOFF,LETVIN NORMAN - ,BETH ISRAEL DEACONESS MEDICAL CENTER - ,HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CLADE M MOSAIC GAG POLYPEPTIDES.,17-02-2012,13-09-2012,
LEMPIA SUMMERFIELD KATZ LLC,HAIDER SULTAN - KREISCHER LUDWIG - ,SIEMENS AKTIENGESELLSCHAFT - ,Patient Transport System,04-07-2014,08-01-2015,
LEMPIA SUMMERFIELD KATZ LLC,LAZAR RAZVAN - SCHRAMM MARTIN - ,SIEMENS AKTIENGESELLSCHAFT - ,Mounting for a Body Coil of a Magnetic Resonance Device,26-06-2014,01-01-2015,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SHAH DIMPLE B. - TERACHI TAKATSUGU - ,EBAY INC. - ,METHODS AND APPARATUS FOR FUNDING TRANSACTIONS USING DEBIT CARDS ISSUED BY ONE INSTITUTION AND FUNDS FROM ACCOUNTS AT OTHER INSTITUTIONS,20-08-2012,13-12-2012,05-03-2013,
CONLEY ROSE P.C.,CRONIN PAUL J. - WILDEY CHESTER - HUNT ALAN K. - ,AUTHENTIX INC. - ,OBJECT AUTHENTICATION,04-06-2012,04-10-2012,01-10-2013,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SUNDARESAN NEELAKANTAN - ,EBAY INC. - ,COMMUNITY BASED NETWORK SHOPPING,27-07-2011,31-01-2013,22-04-2014,
SHUMAKER & SIEFFERT P.A.,NESAMONEY DIAZ H. - MARTIN JAMEISON B. - RADALJ MAURICE M. - YOUNAS FAYYAZ A. - ,INTERNATIONAL BUSINESS MACHINES CORPORATION - ,METHOD FOR PROVIDING A REAL TIME VIEW OF HETEROGENEOUS ENTERPRISE DATA,08-08-2013,06-02-2014,
MICHAEL BEST & FRIEDRICH LLP,STEELE MICHAEL S. - HYMA STEVEN W. - ,MILWAUKEE ELECTRIC TOOL CORPORATION - ,STAPLER,19-02-2014,21-08-2014,
ELIZABETH ARWINE,BERGLUND LARRY G - HOYT REED W - ,U.S. ARMY MEDICAL RESEARCH AND MATERIEL COMMAND - ,PROTECTIVE CLOTHING ENSEMBLE WITH TWO-STAGE EVAPORATIVE COOLING,01-03-2013,11-07-2013,
SOLVAY USA INC.,CHEMPLEX ADVANCED MATERIALS LLC - VENTANA RESOURCES MANAGEMENT LLC - CHEMLOGICS GROUP LLC - SOLVAY USA INC. - ,SOLVAY USA INC. - ,IRON CONTROL AGENT,09-11-2005,23-08-2011,
B. J. SADOFF,KORBER BETTE T. - PERKINS SIMON - BHATTACHARYA TANMOY - FISCHER WILLIAM M. - THEILER JAMES - YUSIM KARINA - KUIKEN CARLA - ,LOS ALAMOS NATIONAL SECURITY LLC - ,HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CLADE M MOSAIC GAG POLYPEPTIDES.,17-02-2012,13-09-2012,
ROPES & GRAY LLP,HART CELIA PATRICIA - HOLGATE ROBERT GEORGE EDWARD - JERMUTUS LUTZ ULRICH JOCHEN WILHELM - BUCHANAN CATRIONA LOUISE - DUNCAN ALEXANDER ROBERT - FINCH DONNA KIRSTY - ,CAMBRIDGE ANTIBODY TECHNOLOGY LIMITED - ,ANTIBODIES TO TGF-BETA,21-10-2013,08-05-2014,
ANDREW B. ULMER,ITE LLC - ,ETHICON ENDO-SURGERY INC. - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
ROPES & GRAY LLP,CAMBRIDGE ANTIBODY TECHNOLOGY LIMITED - ,OPTEIN INC. - ,ANTIBODIES TO TGF-BETA,21-10-2013,08-05-2014,
ROPES & GRAY LLP,LEDBETTER STEVEN R. - ,GENZYME CORPORATION - ,ANTIBODIES TO TGF-BETA,21-10-2013,08-05-2014,
CONLEY ROSE P.C./MATTHEW R. MOSCICKI,SCHLUMBERGER TECHNOLOGY CORPORATION - ,INTELLISERV LLC - ,METHOD AND CONDUIT FOR TRANSMITTING SIGNALS,31-12-2012,23-05-2013,
INTERMOLECULAR INC.,XU YONGLI - ,INTERMOLECULAR INC. - GUARDIAN INDUSTRIES CORP. - ,Low-E Glazing Performance by Seed Structure Optimization,12-03-2013,18-09-2014,
BRUCE CROSBY,BIOSAFETY SYSTEMS INC - ,CROSBY BRUCE KELLY - ,METHOD OF DISINFECTING A BUILDING AIR SUPPLY,19-10-2004,20-04-2006,27-11-2007,
MCDONNELL BOEHNEN HULBERT & BERGHOFF LLP,DEVAUL RICHARD - TELLER ERIC - BIFFLE CLIFFORD L - WEAVER JOSHUA - ,GOOGLE INC. - ,Balloon Power Sources with a Buoyancy Trade-Off,20-08-2012,20-02-2014,
GERALD T. SHEKLETON,VUGTS JOHANNES JACOBUS ANTONIUS MARIA - ILLING IVAR - ,OPTELEC DEVELOPMENT B.V. - ,LOW VISION DEVICE AND METHOD FOR RECORDING AND DISPLAYING AN OBJECT ON A SCREEN,14-02-2014,14-08-2014,
B. J. SADOFF,HAYNES BARTON F. - ,DUKE UNIVERSITY - ,HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CLADE M MOSAIC GAG POLYPEPTIDES.,17-02-2012,13-09-2012,
SQUARE 1 BANK,SQUARE 1 BANK - ,NEATO ROBOTICS INC. - ,Localization and mapping system and method for a robotic device,01-09-2006,15-03-2007,09-07-2013,
SQUARE 1 BANK,SQUARE 1 BANK - ,NEATO ROBOTICS INC. - ,DISTANCE SENSOR SYSTEM AND METHOD,19-07-2007,04-02-2010,
SQUARE 1 BANK,SQUARE 1 BANK - ,NEATO ROBOTICS INC. - ,METHOD AND APPARATUS FOR SIMULTANEOUS LOCALIZATION AND MAPPING OF MOBILE ROBOT ENVIRONMENT,31-08-2010,07-04-2011,
SQUARE 1 BANK,SQUARE 1 BANK - ,NEATO ROBOTICS INC. - ,MULTI-FUNCTION ROBOTIC DEVICE,01-09-2006,15-03-2007,30-06-2009,
ADE & COMPANY INC.,PERMATOOTH INC. - ,GRIJALVA KELLY - SIEGMUND MARILYN KATHLEEN - ,Dental Replacement Mounting System,24-04-2014,09-10-2014,
PERKINS COIE LLP,CIRELLI FRANCO - KENNEDY ROSS - TACHIKI SCOTT - ,SEATSUB INC. - ,DISTRIBUTING THINGS THROUGH PERSONALIZED NETWORKS,05-06-2008,18-10-2011,
STERNE KESSLER GOLDSTEIN & FOX PLLC,KORMAN ALAN J. - SRINIVASAN MOHAN - WANG CHANGYU - SELBY MARK J. - CHEN BINGLIANG - CARDARELLI JOSEPHINE M. - ,MEDAREX INC. - ,METHODS FOR TREATING CANCER USING ANTI-PD-1 ANTIBODIES IN COMBINATION WITH ANTI-CTLA-4 ANTIBODIES,27-03-2014,31-07-2014,
STERNE KESSLER GOLDSTEIN & FOX PLLC,KORMAN ALAN J. - SRINIVASAN MOHAN - WANG CHANGYU - SELBY MARK J. - CHEN BINGLIANG - CARDARELLI JOSEPHINE M. - ,MEDAREX INC. - ,METHODS FOR TREATING CANCER USING ANTI-PD-1 ANTIBODIES,06-05-2014,06-11-2014,
STERNE KESSLER GOLDSTEIN & FOX PLLC,KORMAN ALAN J. - SRINIVASAN MOHAN - WANG CHANGYU - SELBY MARK J. - CHEN BINGLIANG - CARDARELLI JOSEPHINE M. - ,MEDAREX INC. - ,MONOCLONAL ANTIBODIES TO PROGRAMMED DEATH 1 (PD-1),15-08-2011,23-05-2013,15-07-2014,
LEWIS ROCA ROTHGERBER LLP,CRAY RESEARCH INC. - ,CRAY RESEARCH L.L.C. - ,SPACIAL DERIVATIVE BUS ENCODER AND DECODER,13-06-2002,17-04-2003,23-01-2007,
SMITH RISLEY TEMPEL SANTOS LLC,DVORKIN LEV - ,HIGHCON SYSTEMS LTD - ,METHOD AND APPARATUS FOR LASER CUTTING,18-04-2013,24-10-2013,
CANON KABUSHIKI KAISHA,SANNO MASATO - ,CANON KABUSHIKI KAISHA - ,IMAGE PROCESSING APPARATUS IMAGE PROCESSING METHOD IMAGE PROCESSING PROGRAM AND IMAGING APPARATUS,24-06-2014,08-01-2015,
CANON KABUSHIKI KAISHA,MATSUNO KEISUKE - ,CANON KABUSHIKI KAISHA - ,REMOTE-CONTROL APPARATUS AND CONTROL METHOD THEREOF IMAGE CAPTURING APPARATUS AND CONTROL METHOD THEREOF AND SYSTEM,29-07-2014,05-02-2015,
GLOBUS MEDICAL INC.,GORDON JEFFREY DAVID - ,GLOBUS MEDICAL INC. - ,Device and Method for Treatment of Spinal Deformity,27-09-2013,03-04-2014,
AMY E. MANDRAGOURAS ESQ.,WILTON STEPHEN DONALD - FLETCHER SUE - MCCLOREY GRAHAM - ,THE UNIVERSITY OF WESTERN AUSTRALIA - ,ANTISENSE OLIGONUCLEOTIDES FOR INDUCING EXON SKIPPING AND METHODS OF USE THEREOF,27-06-2014,16-10-2014,
JAMES J. KERNELL,PATTON STEVEN - ,STABIL-LOC HOLDINGS LLC - ,CONCENTRICALLY LOADED ADJUSTABLE PIERING SYSTEM,18-06-2012,11-10-2012,07-10-2014,
BRIAN C. MEADOWS,BEHRENDT KIRK - DAUZVARDIS MATTHEW J. - HOCH RICHARD L. - ,CONSTAR INTERNATIONAL LLC - ,Oxygen Scavenging Compositions Articles Containing Same and Methods of Their Use,30-04-2013,31-10-2013,
YOUNG & THOMPSON,FIELD ROBERT SHAUN - HOWE GEOFFREY STUART - LAMBERT SIMON - ,JOHNSON MATTHEY PLC - ,RADIATION DETECTOR,12-02-2014,26-06-2014,
ZHI-XIANG (ALEX) OH,AUTOMATED SPEED TECHNOLOGIES LLC - ,AMERICAN TRAFFIC SOLUTIONS INC. - ,MULTIPLE OBJECT SPEED TRACKING SYSTEM,17-12-2009,08-07-2010,09-10-2012,
K. KEVIN MUN,SAMSUNG SDI CO. LTD. - ,INTELLECTUAL KEYSTONE TECHNOLOGY LLC - ,COLOR DISPLAY DEVICE,22-02-2000,14-05-2002,
CONLEY ROSE P.C./MATTHEW R. MOSCICKI,BIESTER KLAUS - KUNOW PETER - ,COOPER CAMERON CORPORATION - ,ELECTRIC CONTROL AND SUPPLY SYSTEM,16-09-2013,16-01-2014,
BERNARD F. PLANTZ,DEPUY SYNTHES PRODUCTS LLC - ,DEPUY SYNTHES PRODUCTS INC. - ,MOBILE BEARING HIP ASSEMBLY HAVING DECOUPLED MOTION ALONG MULTIPLE AXES,30-03-2012,03-10-2013,08-07-2014,
CONLEY ROSE P.C./MATTHEW R. MOSCICKI,LENZ NORBERT - ,COOPER CAMERON CORPORATION - ,ELECTRIC CONTROL AND SUPPLY SYSTEM,16-09-2013,16-01-2014,
ALFREDO VILLANUEVA,TENSOLITE LLC - ELECTRONIC SPECIALISTS INC. - CARLYLE INC. - ,CARLISLE INTERCONNECT TECHNOLOGIES INC. - ,INSULATING SHEATH FOR RETAINING CONTACTS IN AN ELECTRICAL CONNECTOR AND RELATED ASSEMBLY METHOD,30-06-2014,23-10-2014,
B. J. SADOFF,KORBER BETTE T. - PERKINS SIMON - BHATTACHARYA TANMOY - FISCHER WILLIAM M. - THEILER JAMES - YUSIM KARINA - KUIKEN CARLA - ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CLADE M MOSAIC GAG POLYPEPTIDES.,17-02-2012,13-09-2012,
DIRECTOR DEITR,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,OPTOGENETIC MAGNETIC RESONANCE IMAGING,20-03-2013,31-10-2013,16-09-2014,
DIRECTOR DEITR,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,METHODS AND COMPOSITIONS FOR IDENTIFYING AGENTS THAT INHIBIT AN NS4B-MEDIATED NEOPLASTIC CELLULAR PHENOTYPE OF HCV INFECTED CELLS,20-06-2008,26-03-2009,28-10-2014,
MERCK SHARP & DOHME CORP,SCHERING-PLOUGH ANIMAL HEALTH CORPORATION - ,INTERVET INC. - ,PHARMACEUTICAL COMPOSITIONS AND METHOD FOR TREATING INFLAMMATION IN CATTLE AND OTHER ANIMALS,18-12-2007,26-06-2008,
HODGSON RUSS LLP,CENOVOUS ENERGY INC. - ,FCCL PARTNERSHIP - ,Heat Exchanger Descaling System Using Blowdown,26-12-2013,03-07-2014,
DIRECTOR DEITR,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,IRE1ALPHA ENDONUCLEASE SPECIFIC INHIBITOR WITH CYTOTOXIC ACTIVITY,25-07-2013,14-11-2013,
BACON & THOMAS PLLC,JAPAN SURFACE TREATMENT INSTITUTE CO. LTD. - ,KANTO GAKUIN SCHOOL CORPORATION - ,MATERIAL FOR FORMING ELECTROLESS PLATE COATING SOLUTION FOR ADHERING CATALYST METHOD FOR FORMING ELECTROLESS PLATE AND PLATING METHOD,31-07-2009,06-05-2010,05-03-2013,
BACON & THOMAS PLLC,JAPAN SURFACE TREATMENT INSTITUTE CO. LTD. - ,KANTO GAKUIN SCHOOL CORPORATION - ,MATERIAL FOR FORMING ELECTROLESS PLATE AND METHOD FOR FORMING ELECTROLESS PLATE USING THE SAME,04-09-2008,19-03-2009,26-06-2012,
B. J. SADOFF,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,LOS ALAMOS NATIONAL SECURITY LLC - ,HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 CLADE M MOSAIC GAG POLYPEPTIDES.,17-02-2012,13-09-2012,
XU ZHANG,GAO YI - ,ABBOTT LABORATORIES - ,ANTI-VIRAL COMPOUNDS,14-02-2014,23-10-2014,
PERKINS COIE LLP,PARKER JON - ,NEVRO CORPORATION - ,PHYSICIAN PROGRAMMER WITH ENHANCED GRAPHICAL USER INTERFACE AND ASSOCIATED SYSTEMS AND METHODS,30-07-2014,05-02-2015,
ROBERT GREESON,MANETAKIS KONSTANTINOS - ,CAMBRIDGE SILICON RADIO LIMITED - ,POWER AMPLIFIER CIRCUIT,17-08-2012,20-02-2014,
DIRECTOR DEITR,CORNELL UNIVERSITY/CORNELL RESEARCH FOUNDATIONINC. - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,METHODS FOR TREATING IgE-MEDIATED DISORDER,23-09-2011,26-01-2012,09-09-2014,
JACOBSON HOLMAN PLLC,AERTS HANS - BERTRAND ERIC - BOISDENGHIEN ARNAUD - ,S.A. IMPERBEL N.V. - ,WERKWIJZE VOOR HET VERVAARDIGEN VAN EEN BINDMIDDELSAMENSTELLING,03-05-2013,23-01-2014,
THE LAW OFFICE OF MICHAEL E. KONDOUDIS,OPLON B.V. - ,OPLON PURE SCIENCE LTD - ,BIOCIDIC MEDICAL DEVICES IMPLANTS AND WOUND DRESSINGS,18-11-2009,08-04-2010,
BIRCH STEWART KOLASCH & BIRCH LLP,LG UPLUS CORP. - ,LG ELECTRONICS INC. - ,THREE-LEVEL PHOTOVOLTAIC INVERTER CONFIGURED FOR ASYMMETRIC CONTROL OF DC-LINK VOLTAGES FOR SEPARATE MPPT DRIVING,24-01-2013,10-04-2014,
DIRECTOR DEITR,WISCONSIN ALUMNI RESEARCH FOUNDATION - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,Coupled Axial and Lateral Displacement Estimation for Elasticity Imaging,13-10-2010,19-04-2012,30-12-2014,
TREVOR K. COPELAND,LAVELLE SHAY - DEVEREUX PAUL - CLANCY MICHAEL - ,COOK IRELAND LIMITED - ,FIDUCIAL DEPLOYMENT NEEDLE SYSTEM,13-08-2014,27-11-2014,
THE LAW OFFICE OF MICHAEL E. KONDOUDIS,OPLON B.V. - ,OPLON PURE SCIENCE LTD - ,BIOFILM DETERRENCE IN WATER SUPPLY SYSTEMS,19-11-2009,03-06-2010,
WOOD PHILLIPS KATZ CLARK & MORTIMER,UNIVERSITY OF UTAH - ,UNIVERSITY OF UTAH RESEARCH FOUNDATION - ,SUBSTITUTED (E)-N'-(1-PHENYLETHYLIDENE)BENZOHYDRAZIDE ANALOGS AS HISTONE DEMETHYLASE INHIBITORS,15-08-2012,03-04-2014,
MYERS BIGEL SIBLEY & SAJOVEC P.A.,MIMEDX INC. - ,MIMEDX GROUP INC. - ,COMPRESSIBLE TUBES FOR PLACING IMPLANTS AND RELATED MEDICAL KITS AND METHODS OF USING SAME,11-05-2011,17-11-2011,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,SHEET PRESENCE DETECTING APPARATUS IMAGE READING APPARATUS METHOD FOR DETECTING A SHEET PRESENCE AND METHOD FOR READING AN IMAGE IN A SHEET,22-07-2009,28-01-2010,08-01-2013,
