Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
PEREGRINE PHARMACEUTICALS INC.,BOARD OF REGENTS THE UNIVERSITY OF TEXAS SYSTEM - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,METHODS FOR TARGETING THE VASCULATURE OF SOLID TUMORS,01-06-1995,07-07-1998,
ANDREW B. ULMER,CARPER KENNETH E. - GEIGER DANIEL L. - LEHR KYLE A. - ,ITE LLC - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
HANLEY FLIGHT & ZIMMERMAN LLC,ECKERT FRANK - ,DUERR CYPLAN LTD. - ,TURBOMACHINES HAVING GUIDE DUCTS,30-04-2014,21-08-2014,
NATIONAL SCIENCE FOUNDATION,COLORADO STATE UNIVERSITY RESEARCH FOUNDATION - ,NATIONAL SCIENCE FOUNDATION - ,POLYMERIC MATERIALS INCLUDING A GLYCOSAMINOGLYCAN NETWORKED WITH A POLYOLEFIN-CONTAINING POLYMER,08-07-2012,18-10-2012,
MAIER & MAIER PLLC,NEMTRA GMBH - ,CHUNGA UG (HAFTUNGSBESCHRANKT) - ,AEROSOL-FORMING MATERIAL FOR A HOOKAH,25-06-2014,16-10-2014,
NOVO NORDISK INC.,STENNICKE VIBEKE WESTPHAL - HENRIKSEN ANETTE - ANDERSEN METTE DAHL - ,NOVO NORDISK A/S - ,NOVEL RECEPTOR TREM (TRIGGERING RECEPTOR EXPRESSED ON MYELOID CELLS) AND USES THEREOF,30-11-2012,13-06-2013,
GERARD A. MESSINA,HENRICI FABIAN - WENZLER AXEL - SCHIEMANN WERNER - SCHNITZER REINER - ELBRACHT BERTHOLD - ,ROBERT BOSCH GMBH - ,BATTERY SENSOR DATA TRANSMISSION UNIT AND A METHOD FOR TRANSMITTING BATTERY SENSOR DATA,15-08-2014,08-01-2015,
SCHWEGMAN LUNDBERG & WOESSNER P.A.,GOULD HELEN M. - GARCIA EDWARD O'NEIL - MELCHER RYAN - LAGUNAS DIEGO - BOLIVAR ALVARO - ANDERSON JENNIFER T. - SUSILO KARENINA - SPOON RYAN - LEWIS ALAN - ,EBAY INC. - ,METHOD AND SYSTEM FOR COLLABORATIVE AND PRIVATE SESSIONS,23-02-2011,16-06-2011,16-12-2014,
DAVID J. GASKEY,HANCOCK MATTHEW - ROBINSON GUY - ,JAGUAR LAND ROVER LIMITED - ,MOTOR VEHICLE CONTROLLER AND METHOD OF CONTROLLING A MOTOR VEHICLE,29-07-2014,18-12-2014,
DIEDERIKS & WHITELAW PLC,ROEPER HARTMUT - ,FORD GLOBAL TECHNOLOGIES LLC - ,SYNCHRONIZATION DEVICE,17-03-2014,27-11-2014,
BERNARD F. PLANTZ,DEPUY PRODUCTS INC. - ,DEPUY SPINE LLC - ,METHOD OF FABRICATING CUSTOMIZED PATIENT-SPECIFIC BONE CUTTING BLOCKS,21-08-2012,14-03-2013,
JOHN T. WHELAN,SIMON SASCHA - ,APIO SYSTEMS INC. - ,SYSTEM AND METHOD FOR DETECTING VEHICLE CRASH,13-12-2013,26-06-2014,
BERNARD F. PLANTZ,DEPUY SPINE LLC - ,HAND INNOVATIONS LLC - ,METHOD OF FABRICATING CUSTOMIZED PATIENT-SPECIFIC BONE CUTTING BLOCKS,21-08-2012,14-03-2013,
BETTY G. SMITH SENIOR PARALEGAL,SYMETRICS TECHNOLOGY GROUP LLC - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS ADMINISTRATIVE AGENT - ,Modular sensor array,29-05-2001,05-12-2002,
BETTY G. SMITH SENIOR PARALEGAL,SYMETRICS TECHNOLOGY GROUP LLC - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS ADMINISTRATIVE AGENT - ,PORTABLE TERMINAL,15-06-1990,04-08-1992,
EDNA I. GERGEL,JUNG SEUNG-YONG - ,OAK RIDGE ASSOCIATED UNIVERSITIES - ,GENERATION OF MONODISPERSE DROPLETS BY SHAPE-INDUCED SHEAR AND INTERFACIAL CONTROLLED FUSION OF INDIVIDUAL DROPLETS ON-DEMAND,15-06-2011,20-12-2012,03-02-2015,
WHITHAM CURTIS & CHRISTOFFERSON & COOK,TERZI FABIOLA - CANAUD GUILLAUME - BIENAIME FRANK - ,INSERM (INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE) - ,BIOMARKERS OF RENAL DISORDERS,14-04-2014,15-01-2015,
EDNA I. GERGEL,OAK RIDGE ASSOCIATED UNIVERSITIES - ,UT-BATTELLE LLC - ,GENERATION OF MONODISPERSE DROPLETS BY SHAPE-INDUCED SHEAR AND INTERFACIAL CONTROLLED FUSION OF INDIVIDUAL DROPLETS ON-DEMAND,15-06-2011,20-12-2012,03-02-2015,
ALSTON & BIRD LLP,MORAES AURÉLIO ROTOLO - ,AUDIOBRAX INDÚSTRIA E COMÉRCIO DE PRODUTOS ELETRÔNICOS S/A - ,Mobile Communication Device with Musical Instrument Functions,29-02-2008,16-10-2008,
ERIC R. WALDKOETTER,GEJDOS IGOR - ,ROCHE DIAGNOSTICS OPERATIONS INC. - ,DYNAMIC COMMUNICATION STACK,01-03-2013,18-07-2013,
BANNER & WITCOFF LTD.,MURODATE YUSUKE - KOBAYASHI AKIHIRO - HAZEYAMA TOMOAKI - IWATA NAOYUKI - MARUYAMA YASUHIRO - NISHIGAKI YUJI - ,BROTHER KOGYO KABUSHIKI KAISHA - ,FIXING DEVICE PROVIDED WITH REINFORCED NIP MEMBER,27-03-2014,02-10-2014,
AKAMAI TECHNOLOGIES INC.,LISIECKI PHILIP A. - NICOLAOU COSMOS - ROSE KYLE R. - ,AKAMAI TECHNOLOGIES INC. - ,SCALABLE HIGH PERFORMANCE AND HIGHLY AVAILABLE DISTRIBUTED STORAGE SYSTEM FOR INTERNET CONTENT,20-05-2013,26-09-2013,
GLOBUS MEDICAL INC.,ANKNEY DAVID - RHODA WILLIAM - PAUL DAVID C. - ANGELUCCI CHRISTOPHER - ,GLOBUS MEDICAL INC. - ,Transforaminal Prosthetic Spinal Disc Replacement and Methods Thereof,08-05-2013,20-02-2014,
